tweet_text,sentiment,date,topic,source
@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,Negative,Mon Apr 06 22:28:48 PDT 2009,Healthcare Services,Twitter
No phantasy star yesterday  going to work...,Negative,Mon Apr 06 22:30:45 PDT 2009,Healthcare Services,Twitter
Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,Negative,Mon Apr 06 22:30:50 PDT 2009,Healthcare Services,Twitter
"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",Negative,Mon Apr 06 22:31:05 PDT 2009,Healthcare Services,Twitter
@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,Negative,Mon Apr 06 22:31:09 PDT 2009,Healthcare Services,Twitter
I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,Negative,Mon Apr 06 22:31:15 PDT 2009,Healthcare Services,Twitter
@marieclr I was serious  LOL,Negative,Mon Apr 06 22:31:31 PDT 2009,Healthcare Services,Twitter
@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,Negative,Mon Apr 06 22:31:48 PDT 2009,Healthcare Services,Twitter
@ColinDeMar Far too out of the way for rail.  any other tips?,Negative,Mon Apr 06 22:31:50 PDT 2009,Healthcare Services,Twitter
@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,Negative,Mon Apr 06 22:31:59 PDT 2009,Healthcare Services,Twitter
Check out my mug  http://www.erika-obscura.blogspot.com,Negative,Mon Apr 06 22:32:02 PDT 2009,Healthcare Services,Twitter
Borders closed at 10 ,Negative,Mon Apr 06 22:32:06 PDT 2009,Healthcare Services,Twitter
Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,Negative,Mon Apr 06 22:32:16 PDT 2009,Healthcare Services,Twitter
@supersport I miss my buddy  ill be in NY on the 25th,Negative,Mon Apr 06 22:32:23 PDT 2009,Healthcare Services,Twitter
@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,Negative,Mon Apr 06 22:32:28 PDT 2009,Healthcare Services,Twitter
"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",Negative,Mon Apr 06 22:32:30 PDT 2009,Healthcare Services,Twitter
spencer is not a good guy. ,Negative,Mon Apr 06 22:32:36 PDT 2009,Healthcare Services,Twitter
"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well ",Negative,Mon Apr 06 22:32:38 PDT 2009,Healthcare Services,Twitter
"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",Negative,Mon Apr 06 22:33:00 PDT 2009,Healthcare Services,Twitter
My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,Negative,Mon Apr 06 22:33:20 PDT 2009,Healthcare Services,Twitter
My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,Negative,Mon Apr 06 22:33:32 PDT 2009,Healthcare Services,Twitter
Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,Negative,Mon Apr 06 22:33:35 PDT 2009,Healthcare Services,Twitter
I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,Negative,Mon Apr 06 22:33:44 PDT 2009,Healthcare Services,Twitter
"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",Negative,Mon Apr 06 22:35:29 PDT 2009,Healthcare Services,Twitter
@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,Negative,Mon Apr 06 22:35:31 PDT 2009,Healthcare Services,Twitter
@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,Negative,Mon Apr 06 22:35:35 PDT 2009,Healthcare Services,Twitter
@breadandbadger Congrats!!  i totally forgot to submit photos ,Negative,Mon Apr 06 22:35:36 PDT 2009,Healthcare Services,Twitter
"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",Negative,Mon Apr 06 22:35:41 PDT 2009,Healthcare Services,Twitter
Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,Negative,Mon Apr 06 22:35:44 PDT 2009,Healthcare Services,Twitter
What tragedy and disaster in the news this week ,Negative,Mon Apr 06 22:35:46 PDT 2009,Healthcare Services,Twitter
@charlietm I know right. I dunno what is going on with twitter. ,Negative,Mon Apr 06 22:35:50 PDT 2009,Healthcare Services,Twitter
@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,Negative,Mon Apr 06 22:35:51 PDT 2009,Healthcare Services,Twitter
@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,Negative,Mon Apr 06 22:35:52 PDT 2009,Healthcare Services,Twitter
I'm really cold. I don't want to go to sleep yet but there's nothing to do ,Negative,Mon Apr 06 22:36:06 PDT 2009,Healthcare Services,Twitter
@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,Negative,Mon Apr 06 22:36:06 PDT 2009,Healthcare Services,Twitter
@miss_om Aww  I know I felt like that yesterday at work ,Negative,Mon Apr 06 22:36:15 PDT 2009,Healthcare Services,Twitter
@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,Negative,Mon Apr 06 22:36:20 PDT 2009,Healthcare Services,Twitter
Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,Negative,Mon Apr 06 22:36:26 PDT 2009,Healthcare Services,Twitter
i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,Negative,Mon Apr 06 22:36:52 PDT 2009,Healthcare Services,Twitter
has lost his ring. It's no-where to be seen ,Negative,Mon Apr 06 22:36:54 PDT 2009,Healthcare Services,Twitter
"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY.",Negative,Mon Apr 06 22:37:03 PDT 2009,Healthcare Services,Twitter
Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,Negative,Mon Apr 06 22:37:04 PDT 2009,Healthcare Services,Twitter
@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,Negative,Mon Apr 06 22:37:16 PDT 2009,Healthcare Services,Twitter
@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,Negative,Mon Apr 06 22:37:22 PDT 2009,Healthcare Services,Twitter
"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",Negative,Mon Apr 06 22:37:36 PDT 2009,Healthcare Services,Twitter
gr8t my face is very itchy ,Negative,Mon Apr 06 22:37:41 PDT 2009,Healthcare Services,Twitter
poor socks  luvvvvv the golden retriever!! I want one sighhhh,Negative,Mon Apr 06 22:37:41 PDT 2009,Healthcare Services,Twitter
I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,Negative,Mon Apr 06 22:37:44 PDT 2009,Healthcare Services,Twitter
@DonnieWahlberg ooh Iï¿½m excited and not even going 2 be there  long love YOUTUBE!,Negative,Mon Apr 06 22:37:46 PDT 2009,Healthcare Services,Twitter
@mathewsmichael  i agree... the jobros dont update theres very often ,Negative,Mon Apr 06 22:37:57 PDT 2009,Healthcare Services,Twitter
@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),Negative,Mon Apr 06 22:38:04 PDT 2009,Healthcare Services,Twitter
seriously needs to finish these job applications ,Negative,Mon Apr 06 22:38:08 PDT 2009,Healthcare Services,Twitter
Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. ,Negative,Mon Apr 06 22:38:18 PDT 2009,Healthcare Services,Twitter
@huntermoore I don't want him to ever punch me.  ,Negative,Mon Apr 06 22:38:20 PDT 2009,Healthcare Services,Twitter
I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,Negative,Mon Apr 06 22:38:26 PDT 2009,Healthcare Services,Twitter
@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,Negative,Mon Apr 06 22:38:30 PDT 2009,Healthcare Services,Twitter
"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",Negative,Mon Apr 06 22:38:28 PDT 2009,Healthcare Services,Twitter
feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,Negative,Mon Apr 06 22:38:32 PDT 2009,Healthcare Services,Twitter
"@riancurtis  i'm here, friend, and i love you.",Negative,Mon Apr 06 22:40:20 PDT 2009,Healthcare Services,Twitter
Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,Negative,Mon Apr 06 22:40:33 PDT 2009,Healthcare Services,Twitter
@jokerrrr It stillllll hasn't arrived ,Negative,Mon Apr 06 22:40:38 PDT 2009,Healthcare Services,Twitter
Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,Negative,Mon Apr 06 22:40:48 PDT 2009,Healthcare Services,Twitter
amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,Negative,Mon Apr 06 22:41:07 PDT 2009,Healthcare Services,Twitter
"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",Negative,Mon Apr 06 22:41:06 PDT 2009,Healthcare Services,Twitter
Just watched tropic thunder. Dreading tomorrow ,Negative,Mon Apr 06 22:41:15 PDT 2009,Healthcare Services,Twitter
"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",Negative,Mon Apr 06 22:41:20 PDT 2009,Healthcare Services,Twitter
My thoughts are with Sandra Cantu's family at this difficult and sad time ,Negative,Mon Apr 06 22:41:27 PDT 2009,Healthcare Services,Twitter
"@FranzGlaus I know, just wanted to let everybody know what was happening  ",Negative,Mon Apr 06 22:41:29 PDT 2009,Healthcare Services,Twitter
"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday ",Negative,Mon Apr 06 22:41:36 PDT 2009,Healthcare Services,Twitter
@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office ,Negative,Mon Apr 06 22:41:52 PDT 2009,Healthcare Services,Twitter
"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",Negative,Mon Apr 06 22:41:54 PDT 2009,Healthcare Services,Twitter
wishing i was home underneath my covers ,Negative,Mon Apr 06 22:41:54 PDT 2009,Healthcare Services,Twitter
walking home from school drains all my energy ,Negative,Mon Apr 06 22:41:54 PDT 2009,Healthcare Services,Twitter
@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,Negative,Mon Apr 06 22:41:56 PDT 2009,Healthcare Services,Twitter
I wish I was better at writing. It's taking me so long to write this paper. ,Negative,Mon Apr 06 22:41:57 PDT 2009,Healthcare Services,Twitter
"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project.",Negative,Mon Apr 06 22:42:00 PDT 2009,Healthcare Services,Twitter
day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,Negative,Mon Apr 06 22:42:06 PDT 2009,Healthcare Services,Twitter
@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. ,Negative,Mon Apr 06 22:42:28 PDT 2009,Healthcare Services,Twitter
"@griffmiester no exchanging for me, my laptop hasn't arrived ",Negative,Mon Apr 06 22:42:32 PDT 2009,Healthcare Services,Twitter
@hyperbets i hope this doesn't last too long.  i feel miserable!,Negative,Mon Apr 06 22:42:37 PDT 2009,Healthcare Services,Twitter
@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down ,Negative,Mon Apr 06 22:42:49 PDT 2009,Healthcare Services,Twitter
@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!,Negative,Mon Apr 06 22:42:51 PDT 2009,Healthcare Services,Twitter
"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah ",Negative,Mon Apr 06 22:42:49 PDT 2009,Healthcare Services,Twitter
@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week ,Negative,Mon Apr 06 22:42:56 PDT 2009,Healthcare Services,Twitter
"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! ",Negative,Mon Apr 06 22:43:06 PDT 2009,Healthcare Services,Twitter
"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry ",Negative,Mon Apr 06 22:43:12 PDT 2009,Healthcare Services,Twitter
Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it ,Negative,Mon Apr 06 22:43:17 PDT 2009,Healthcare Services,Twitter
I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby ,Negative,Mon Apr 06 22:43:38 PDT 2009,Healthcare Services,Twitter
@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,Negative,Mon Apr 06 22:43:43 PDT 2009,Healthcare Services,Twitter
"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",Negative,Mon Apr 06 22:43:44 PDT 2009,Healthcare Services,Twitter
"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",Negative,Mon Apr 06 22:43:46 PDT 2009,Healthcare Services,Twitter
"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart.",Negative,Mon Apr 06 22:44:34 PDT 2009,Healthcare Services,Twitter
 wonder if Jon lost the net,Negative,Mon Apr 06 22:44:48 PDT 2009,Healthcare Services,Twitter
Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,Negative,Mon Apr 06 22:44:52 PDT 2009,Healthcare Services,Twitter
Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming,Negative,Mon Apr 06 22:45:10 PDT 2009,Healthcare Services,Twitter
Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,Negative,Mon Apr 06 22:45:40 PDT 2009,Healthcare Services,Twitter
@duchess_rebecca Man... intervention is soo sad ,Negative,Mon Apr 06 22:45:44 PDT 2009,Healthcare Services,Twitter
Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,Negative,Mon Apr 06 22:45:53 PDT 2009,Healthcare Services,Twitter
I miss watching Rocko's Modern Life. ,Negative,Mon Apr 06 22:46:16 PDT 2009,Healthcare Services,Twitter
Keeping my fingers crossed for my buddy    He is not feeling well.,Negative,Mon Apr 06 22:46:24 PDT 2009,Healthcare Services,Twitter
"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... ",Negative,Mon Apr 06 22:46:24 PDT 2009,Healthcare Services,Twitter
"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin ",Negative,Mon Apr 06 22:46:27 PDT 2009,Healthcare Services,Twitter
Sitting here wondering why &quot;ED&quot; still has such a strong hold on me ,Negative,Mon Apr 06 22:46:32 PDT 2009,Healthcare Services,Twitter
"@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! ",Negative,Mon Apr 06 22:46:40 PDT 2009,Healthcare Services,Twitter
@Steve_Buscemi the weather in Canada is freezing ,Negative,Mon Apr 06 22:46:44 PDT 2009,Healthcare Services,Twitter
"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe.",Negative,Mon Apr 06 22:47:05 PDT 2009,Healthcare Services,Twitter
"@ellievolia If oooonly we were really so lucky, eh? And awh  Definitely too early for work.",Negative,Mon Apr 06 22:47:28 PDT 2009,Healthcare Services,Twitter
needs another copy of visual studio 2008 ,Negative,Mon Apr 06 22:47:40 PDT 2009,Healthcare Services,Twitter
@hummiemd I KNOW! I was really surprised since everyone recommends them on youtube.  I have to call them tomorrow and figure it all out.,Negative,Mon Apr 06 22:48:00 PDT 2009,Healthcare Services,Twitter
@celycarmo i'm sorry I don't understand your last comment ,Negative,Mon Apr 06 22:48:03 PDT 2009,Healthcare Services,Twitter
"@KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???",Negative,Mon Apr 06 22:48:08 PDT 2009,Healthcare Services,Twitter
@SupaMagg that happened to me saturday night. along with my glittery green lighter! ,Negative,Mon Apr 06 22:48:17 PDT 2009,Healthcare Services,Twitter
trying to reduce the number of cigarettes in each day! ,Negative,Mon Apr 06 22:48:19 PDT 2009,Healthcare Services,Twitter
yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to ,Negative,Mon Apr 06 22:48:23 PDT 2009,Healthcare Services,Twitter
"@treesahquiche okay, about the applepears, I've talked to a few people and they've ALL had them before. No one ever told me, never ",Negative,Mon Apr 06 22:48:32 PDT 2009,Healthcare Services,Twitter
"@jennifermf I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here",Negative,Mon Apr 06 22:48:34 PDT 2009,Healthcare Services,Twitter
